#"Step","Potential Energy (kJ/mole)","Temperature (K)"
17600,-15404.286154080904,308.5198351291587
17700,-15222.44599832727,292.1360095154691
17800,-15250.208472360973,313.0301869739103
17900,-15217.577823222548,304.1529949895901
18000,-15237.149823602898,299.25552132747464
18100,-15241.713503792198,296.69554615320726
18200,-15282.800253617695,300.744256997531
18300,-15355.609789749482,299.8411906244356
18400,-15353.42431752907,291.78539540513077
18500,-15540.858911934805,292.2685798851874
18600,-15605.085749068208,303.4557854280439
18700,-15474.078847547335,295.05821788062343
18800,-15380.440632522312,279.1580516346117
18900,-15417.085816494005,285.01808971868707
19000,-15469.289081865078,290.2229113974084
19100,-15434.51253496502,289.280955341767
19200,-15603.197168738558,311.8553655564399
19300,-15422.967295503255,293.6029106937365
19400,-15411.070844823616,293.41717188069106
19500,-15414.25747384228,306.9416187950477
19600,-15300.72005161489,290.77345040236673
19700,-15515.088643381905,313.61484924654053
19800,-15546.434081698619,303.1404690238494
19900,-15601.090051292942,301.59457233539695
20000,-15440.720644976265,295.8451823795609
