# cv      v
3.525841534137725830e-01 4.408531331463226361e-71
1.061090111732482910e+00 4.266523812872032901e-17
1.769596099853515625e+00 -8.522471970556110166e-17
2.478102207183837891e+00 4.457790215260701535e-17
3.186607837677001953e+00 -4.142597703412034824e-18
3.895113945007324219e+00 2.124177215585404677e-18
4.603619575500488281e+00 5.265132799556730441e-21
5.312126159667968750e+00 1.568513343082220306e-17
6.020631790161132812e+00 -1.569039865156137059e-17
6.729137420654296875e+00 4.677241918024063000e-14
7.437644004821777344e+00 5.121583762448500479e-11
8.146149635314941406e+00 1.528485882427107352e-07
8.854656219482421875e+00 1.674254629401522674e-04
9.563161849975585938e+00 -3.126097118610185249e-04
1.027166748046875000e+01 1.361707472521950365e-03
1.098017311096191406e+01 6.701767232581972746e-03
1.168867969512939453e+01 7.817271383530971507e-03
1.239718532562255859e+01 2.703839269480948909e-02
1.310569190979003906e+01 -8.554821486874875092e-02
1.381419754028320312e+01 8.554821486874875092e-02
