# cv      v
5.565490245819091797e+00 2.534694904308355113e-89
1.736806488037109375e+01 1.546675005654280510e-50
2.917063903808593750e+01 -3.093346515313562557e-50
4.097321319580078125e+01 5.925324321169904871e-28
5.277578735351562500e+01 1.305021028347428939e-23
6.457836914062500000e+01 3.457200053209079679e-13
7.638093566894531250e+01 5.061795814782848395e-11
8.818351745605468750e+01 3.072003903587793276e-06
9.998608398437500000e+01 -5.991209883679138184e-06
1.117886657714843750e+02 1.242142292189341414e-03
1.235912322998046875e+02 -1.239223137172928415e-03
1.353938140869140625e+02 6.642826552997316281e-02
1.471963806152343750e+02 -1.249380877039124316e-01
1.589989624023437500e+02 1.170196443478785236e-01
1.708015441894531250e+02 3.738225362077544078e-01
1.826041107177734375e+02 -8.646647167633872977e-01
1.944066772460937500e+02 8.646647167633872977e-01
2.062092590332031250e+02 -7.483926377959724263e-01
2.180118408203125000e+02 3.160602794142788330e-01
2.298144073486328125e+02 0.000000000000000000e+00
