#"Step","Potential Energy (kJ/mole)","Temperature (K)"
6700,-22931.83372666285,296.96070906495254
6800,-23038.96343742445,305.0777191170842
6900,-23062.8050156135,302.35343284336346
7000,-22967.628272811795,296.2589781512763
7100,-23012.237432679336,307.26883170690337
7200,-22943.24178199441,303.7700264443891
7300,-23015.311296431522,305.83464749592815
7400,-23040.87831804756,301.07760936025403
7500,-22950.126967085584,298.7443577637815
7600,-23087.95465403091,303.3201807268218
7700,-23050.851844640158,295.27097648619707
7800,-23210.36282555986,299.7475388730557
7900,-23260.23676824913,307.0830700390234
8000,-23153.164480246545,307.873444703091
8100,-22980.904768078763,299.3458700588927
8200,-23155.46101626818,299.7690516639722
8300,-23115.247882965195,296.065704687135
8400,-23317.849590516358,304.18402723012616
8500,-23112.484988676326,287.3490752486513
8600,-23315.778396714188,302.464274155106
8700,-23141.70376492216,293.3921369646066
8800,-23141.852258017927,298.6549526828153
8900,-23216.81962710776,311.1406415897208
9000,-23225.912961171183,306.5834223760846
9100,-23058.05667150853,291.74272898231635
9200,-23245.637055362982,308.3450581321636
9300,-23157.218295064464,296.821940457551
9400,-23187.068351335998,298.8291632361737
9500,-23164.946011224936,302.4353266554775
9600,-23328.650617846695,307.81515941219243
9700,-23311.69060866459,312.6020940615304
9800,-23204.443471923412,293.9892227758782
9900,-23185.642862527573,289.4526530430765
10000,-23284.38251291908,302.0147620632553
10100,-23225.126168565534,291.56796536243905
10200,-23298.129641427367,290.5137762685334
10300,-23338.100064282015,284.73943160079887
10400,-23326.64872204064,279.443491347052
10500,-23370.007299927704,281.9856312049992
10600,-23403.873581983324,288.8862680920997
10700,-23310.407330505957,288.70806012860095
10800,-23312.85716599383,294.4850019320865
10900,-23097.178845730086,287.89979985524946
11000,-23139.58155192336,300.76441069947003
11100,-23037.78470133239,301.18065395346304
11200,-22891.94529121666,295.1912585032092
11300,-22952.975522308785,306.4839062360992
11400,-23018.232684786373,308.042553475047
11500,-23030.03643031459,301.79788976589896
11600,-23289.5080410465,321.24911736433796
11700,-23081.900637348823,306.7538566739983
11800,-23084.117684262048,294.9390611812756
11900,-23162.59815756342,298.34348327607523
12000,-23103.093739575183,295.5284631277444
12100,-23041.5898565682,288.0149993092953
12200,-23070.74545740377,301.3756368009504
12300,-23135.37601468916,307.485014829625
12400,-22923.632765909366,294.7607983710764
12500,-22976.75172895071,297.9518631375375
12600,-23200.974889432022,312.55847364630205
12700,-22990.148953508527,300.4542416068736
12800,-23121.04339781002,304.7055415276717
12900,-22885.926969119988,298.56603820993934
13000,-23003.522389762744,307.63082380461174
13100,-23109.74894052319,310.0956811429011
13200,-22912.44440224109,297.8744470097881
13300,-22920.93318322528,301.84216846097945
13400,-23030.426135800255,296.99882706598976
13500,-22995.742388452345,302.41308571243474
13600,-22930.12321350159,293.24418198202756
13700,-23039.57095385756,309.63597053162744
13800,-22926.867134597385,300.61950234679216
13900,-23020.915604492824,302.6740286834605
14000,-22930.95975906303,304.4181504274315
14100,-22882.41081070568,291.54173553409197
14200,-22958.996499209374,295.5591371008418
14300,-22812.14322204719,296.1959045419924
14400,-22940.12272112252,305.63351773298604
14500,-22994.428783216455,307.3763901847186
14600,-22929.311697269266,297.1310495151587
14700,-22977.97457457095,287.8120278267363
14800,-23135.829928543128,302.26679475792434
14900,-23078.055640646897,296.68144911516936
15000,-23119.61500044231,310.4167741857987
15100,-23046.92208835896,309.243433657456
15200,-22969.40434013348,299.57564826741157
15300,-23140.35342941567,304.4306505887301
15400,-23122.032765507174,300.3755992199361
15500,-23034.38681778655,289.9768537925422
15600,-23294.80274812918,305.83424253181954
15700,-23177.2813385544,298.14421458175013
15800,-23103.461786018393,296.62829119026026
15900,-23200.82792627759,298.01065627960907
16000,-23147.602991308027,287.2897197574223
16100,-23267.542553516978,295.22804216510787
16200,-23122.85183828714,294.2088667099989
16300,-23115.606992213463,299.014464325989
16400,-23237.76027578389,310.1359579328434
16500,-23098.665183112433,302.10086549783506
16600,-23068.381185512,295.95119319376505
16700,-23071.52729561081,300.2616661322481
16800,-23201.30062902771,310.494018992838
16900,-23007.823014193156,292.32792069506576
17000,-23388.64292121952,308.09177478407753
17100,-23114.020685000287,298.65621467771655
17200,-23052.712770216807,288.51546251950015
17300,-23167.851246955746,290.3855863113396
17400,-23124.44789855712,285.76922162550966
17500,-23226.71057290671,293.83941566271056
17600,-23265.536608880328,294.86410266553906
