#"Step","Potential Energy (kJ/mole)","Temperature (K)"
11000,-7899.129633837779,292.4728716339325
11100,-8393.938398500244,302.5732108753047
11200,-8176.7879004875585,287.36595610499336
11300,-8571.237861871912,296.7803996862155
11400,-8473.430364007174,287.54462473083396
11500,-8635.571763673235,291.8259370088498
11600,-8429.358105701715,307.9018827994433
11700,-8658.028144630767,302.0229423994933
11800,-8199.542913958407,304.5657673004802
11900,-8847.895948447425,301.37391377822087
12000,-7549.882706059083,303.9556980255335
12100,-9070.99449652092,313.9871540855958
12200,-8497.937601534722,295.9960876181628
12300,-9026.196325316827,307.5208498223223
12400,-8307.663170843396,295.92449391212295
12500,-8939.159791283866,293.7677371816897
12600,-8759.994045712258,299.9837895092102
12700,-8897.109806710665,287.50069370870426
12800,-8863.652851559942,284.8958745827845
12900,-9200.472753888847,289.1299466415001
13000,-8497.089359011912,287.242945516862
13100,-9004.748468501193,289.7165413752799
13200,-9006.5487115853,305.3242349004984
13300,-8827.047058489083,299.90267184992524
13400,-8816.925743643966,301.4107760386259
13500,-8714.058323156129,294.4755832351798
13600,-8734.458440370268,313.05036502681565
13700,-8631.689266079444,285.6947542477189
13800,-8744.624674241011,289.63862057673487
13900,-8524.598262856238,295.9269114435883
14000,-9243.399621559514,288.23865283356355
14100,-9146.252614422012,293.8494209965506
14200,-8745.776146053558,298.7364202201318
14300,-8586.954019451558,295.4403025066226
14400,-8639.42240572521,302.2388617133452
14500,-8759.565352929036,286.504177195534
14600,-7819.1744696156975,282.41212534248615
14700,-8578.614715676475,307.4631501866736
14800,-8856.391450824693,291.0145076573455
14900,-9054.521993962873,291.65142517705874
15000,-8922.35091474004,306.55975018417956
15100,-8829.951505757072,292.3007924760906
15200,-8529.970187359671,290.18079958772984
15300,-8784.343505396359,300.2340717506544
15400,-8457.797001838244,296.9070246369611
15500,-8786.997291279298,289.9251837140216
15600,-8621.84776715438,292.95169168117235
15700,-8768.738409464575,291.10336063404844
15800,-9126.217580911925,299.8173702511077
15900,-8816.070494071599,311.143275533438
16000,-8356.037870059277,295.16831919919446
16100,-8894.836293438395,300.34131368090243
16200,-9047.356263712663,292.53779432881146
16300,-8885.838371735772,296.4418635273546
16400,-8660.71382044849,301.67253425725727
16500,-8671.92558544372,289.23704494646756
16600,-8227.639300810974,309.2462771712915
16700,-8594.367662823586,293.63309106127684
16800,-8675.460615070344,305.4204283791092
16900,-8734.657495641115,300.6534459746707
17000,-8918.294662959837,304.41834581322354
17100,-8816.778118054259,301.5008318936379
17200,-9016.095838599813,296.4941138700147
17300,-8819.387937120984,310.16977883906037
17400,-8674.802717948995,290.14822442427635
17500,-8816.867555811765,305.28146452621024
17600,-8911.592137847627,303.4084612654101
17700,-8902.58792102835,301.99787899959586
17800,-8884.072428272988,307.5780988844343
17900,-8735.564511855668,305.8125522276691
18000,-8573.991237181624,294.1244376193745
18100,-8368.478821650424,290.1694411102166
18200,-8718.156601094279,279.30328152528676
18300,-8653.33396771206,288.9296169983943
18400,-8356.908814246683,289.32361816422724
18500,-8954.933237384519,288.67057681380226
18600,-8482.462946416006,297.62019726781864
18700,-8230.097900196692,301.1006371983265
18800,-8478.075819795253,297.1933867191705
18900,-8709.97239507702,284.35743852615775
19000,-8662.884431304956,304.10130919486056
19100,-8825.88597294526,301.47265962375906
19200,-8721.875369071917,305.17719075118157
19300,-8337.927199220983,300.8359111555589
19400,-7870.247795595139,298.40464534310075
19500,-8108.0570164612145,302.7607898566116
19600,-8388.657307098745,304.6115055879601
19700,-8817.166357310043,306.04887590766606
19800,-8829.227822904031,314.0898790127694
19900,-9092.470418803237,305.0644120149275
20000,-8756.537466913285,305.23533192290955
