#"Step","Potential Energy (kJ/mole)","Temperature (K)"
10500,-305.8180891863522,288.611940851136
10600,-278.65784849317487,291.7231527643984
10700,-297.690816087281,305.1746303492902
10800,-324.94532877879226,299.8559248487252
10900,-337.82386653869776,299.2005006653003
11000,-308.0923527473772,296.0839808247163
11100,-329.2384700694317,300.12726275876474
11200,-296.2577289365177,305.304090802918
11300,-314.9013170930779,309.0466417779822
11400,-311.7765524121299,322.66571083905376
11500,-310.0158642713871,308.5401898251218
11600,-286.4294859297452,298.3852445213492
11700,-315.94341630225523,296.66163752620207
11800,-307.22871129137917,299.42889013570493
11900,-293.46920611616224,295.58174746960697
12000,-301.4697925022601,299.35564850346225
12100,-311.92692525842557,311.73989744686276
12200,-287.7565760382327,308.2717580143028
12300,-312.52783974551596,302.7408247466217
12400,-300.0840137004279,300.5331275617334
12500,-284.8367114057722,300.0929809024549
12600,-311.0126085956621,305.5538657061655
12700,-315.18108518765536,298.9380383664821
12800,-307.85864710862626,297.12482309732184
12900,-322.7326754026413,298.88929337104884
13000,-301.91903131156226,300.24004911946986
13100,-317.9742188493932,302.02254340075973
13200,-291.95317473495624,303.4091001849321
13300,-293.89612205520365,299.22726076575196
13400,-315.7941330336458,303.39951474106743
13500,-300.55590822111424,291.14666384690344
13600,-308.9523221655167,278.4111863466503
13700,-296.67315572253716,278.73909943542395
13800,-294.1010696831391,291.25408778304586
13900,-320.66153672371644,298.12969885326703
14000,-296.13384501000616,304.562543033136
14100,-334.23785030342293,295.39068671731104
14200,-334.5752687398497,304.70244239272205
14300,-327.28815425022646,302.42713903616874
14400,-314.2193498542954,291.9552662570631
14500,-319.5336751120996,287.81909497183045
14600,-303.3642549698048,298.0399893637382
14700,-311.33593669107205,293.78126513551155
14800,-303.4581018249944,290.5454187649921
14900,-335.4263328677483,300.92648618136667
15000,-327.2743771647329,298.276203829678
15100,-304.51195755110234,297.6338053897132
15200,-304.3313154517072,293.403858250882
15300,-327.48342209999606,299.14730490516257
15400,-292.00707713001833,290.18045046351074
15500,-305.46919258821663,294.18849122797917
15600,-289.5473018116555,291.03370087779626
15700,-311.10145695862644,290.9325061572222
15800,-309.36760064385766,294.0278866739602
15900,-296.9811973479254,287.53624236010756
16000,-299.7452984296749,275.2971142566207
16100,-330.65930856576705,277.7317976733973
16200,-305.29763688019784,290.697106915577
16300,-304.3595914934088,293.1602502589269
16400,-302.7895329686722,293.6404815052275
16500,-302.6295299615977,301.6086713304664
16600,-312.96289746071574,305.7783862065634
16700,-291.2952147844231,298.54477703312375
16800,-315.6847487400948,300.04806425438886
16900,-316.14374846230754,295.1257823584563
17000,-291.5906104735366,292.64989454330066
17100,-321.3149299423534,289.9891954510605
17200,-315.9216451717991,292.57406947726014
17300,-319.4005531152522,293.5175970193697
17400,-328.09751781929606,293.28399140650083
17500,-313.45525693386725,299.5467099083664
17600,-319.90415381723943,293.73730285190305
17700,-329.113683198271,295.90081273352894
17800,-327.34321318510797,294.6575578528241
17900,-333.0974969368975,285.342899707513
18000,-347.6945409054502,283.4257881828976
